eventID,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,sigmaMagnitude
138,2010,4,10,1,54,0,-731510,67860,170,2.4,2.4
139,2010,4,15,1,32,0,-731120,67010,157,2.3,2.3
140,2010,4,15,0,32,0,-732190,68760,165,2.2,2.2
141,2010,4,17,7,46,0,-731690,68030,165,2.2,2.2
142,2010,4,17,7,43,0,-730400,67620,163,2.3,2.3
143,2010,4,19,8,7,0,-730750,68990,162,2,2
144,2010,4,22,7,10,0,-732500,67520,1,2.3,2.3
145,2010,7,22,4,38,0,-730870,68200,160,2.3,2.3
146,2010,7,25,9,10,0,-730710,67270,165,2.3,2.3
147,2010,7,30,17,54,0,-731190,67010,166,2.4,2.4
148,2010,8,3,0,55,0,-731510,68600,159,2.2,2.2
149,2010,8,3,2,44,0,-730350,66750,159,2.4,2.4
150,2010,8,3,11,9,0,-731870,67890,162,2.4,2.4
151,2010,8,13,12,52,0,-731540,67560,166,2.4,2.4
152,2010,8,19,5,24,0,-730620,67800,155,2.4,2.4
153,2010,8,20,22,39,0,-731400,68530,164,2.2,2.2
154,2010,8,25,13,34,0,-731170,68180,165,2.4,2.4
155,2010,5,11,5,55,0,-730820,66940,171,2.3,2.3
156,2010,5,13,15,6,0,-731030,67260,161,3.2,3.2
157,2010,5,14,9,52,0,-731970,67130,172,2.6,2.6
158,2010,5,26,19,22,0,-731730,68170,146,2.4,2.4
159,2010,5,27,10,17,0,-730430,67250,167,2.3,2.3
160,2010,5,28,1,36,0,-730080,67660,177,3.1,3.1
161,2010,5,29,14,13,0,-731260,69270,175,2.4,2.4
162,2010,5,30,11,5,0,-731090,66650,161,2.4,2.4
163,2010,5,31,4,3,0,-731180,67290,152,2.4,2.4
164,2010,6,3,5,17,0,-730120,68320,158,2.4,2.4
165,2010,6,10,13,2,0,-730260,67970,153,2.3,2.3
166,2010,6,11,16,16,0,-732280,67110,163,2,2
167,2010,6,14,9,54,0,-731600,67820,174,2.4,2.4
168,2010,6,15,9,8,0,-731660,67540,174,2.4,2.4
169,2010,6,16,1,27,0,-731660,67780,166,2.3,2.3
170,2010,6,21,2,51,0,-731280,68190,163,2.2,2.2
171,2010,6,27,7,30,0,-731760,68860,164,2.3,2.3
172,2010,6,28,17,36,0,-729850,68180,167,2.4,2.4
173,2010,6,29,23,1,0,-731780,66990,164,2.3,2.3
174,2010,7,1,14,50,0,-731330,67820,163,2.4,2.4
175,2010,7,5,6,58,0,-732300,67300,169,2.4,2.4
176,2010,7,9,8,8,0,-731320,67060,146,2.3,2.3
177,2010,7,15,11,17,0,-731130,67780,170,1.9,1.9
178,2010,7,18,10,40,0,-730920,69030,165,2.4,2.4
179,2010,7,19,11,28,0,-730750,67750,164,2.4,2.4
180,2010,9,1,13,26,0,-730460,69370,149,2.4,2.4
181,2010,12,31,12,19,0,-731710,67100,170,3.4,3.4
182,2010,10,6,12,11,0,-731430,67070,140,2.4,2.4
183,2010,10,11,4,41,0,-731570,68820,150,2.2,2.2
184,2010,10,12,6,26,0,-730750,68590,165,2.4,2.4
185,2010,10,19,21,36,0,-729710,67900,154,2.4,2.4
186,2010,10,20,18,41,0,-729950,68760,169,2.3,2.3
187,2010,10,22,5,46,0,-731150,68720,166,2.4,2.4
188,2010,10,30,18,29,0,-731680,68220,163,2.4,2.4
189,2010,10,31,1,49,0,-731450,67200,164,2.4,2.4
190,2010,11,2,4,37,0,-730940,69080,157,3.1,3.1
191,2010,11,11,17,42,0,-731670,69050,179,2.3,2.3
192,2010,11,12,10,16,0,-731980,69250,173,2.2,2.2
193,2010,11,15,8,44,0,-730200,67740,154,2.3,2.3
194,2010,11,18,1,43,0,-731220,68890,169,2.3,2.3
195,2010,11,21,18,53,0,-730630,67970,155,2.3,2.3
196,2010,11,24,4,59,0,-731160,68460,166,2.4,2.4
197,2010,12,20,18,39,0,-731430,68740,177,2.4,2.4
198,2010,12,22,15,17,0,-731390,68370,149,2.3,2.3
199,2011,1,10,15,56,0,-732380,67770,164,2.8,2.8
200,2011,4,11,7,51,0,-729980,66580,161,2.5,2.5
201,2011,4,30,10,57,0,-732180,68810,170,2,2
202,2011,8,30,3,9,0,-730840,67810,166,2.4,2.4
203,2011,6,1,17,50,0,-731090,67990,168,2.5,2.5
204,2011,6,2,3,35,0,-730910,68010,164,2.3,2.3
205,2011,6,6,6,1,0,-731090,68250,163,2.8,2.8
206,2011,6,9,7,3,0,-731570,68380,164,2.4,2.4
207,2011,6,9,11,38,0,-731830,67240,153,3,3
208,2011,6,11,14,15,0,-731180,68760,175,2.4,2.4
209,2011,6,11,20,15,0,-729790,67750,175,2.4,2.4
210,2011,6,15,16,16,0,-731230,67800,170,2.4,2.4
211,2011,6,16,7,22,0,-731020,67730,164,3,3
212,2011,6,16,9,8,0,-731250,69260,168,2.2,2.2
213,2011,6,16,11,9,0,-731330,66530,170,2.9,2.9
214,2011,6,17,10,55,0,-731820,69130,180,2.4,2.4
215,2011,6,17,14,11,0,-731350,67110,167,3,3
216,2011,6,18,2,24,0,-730760,68840,171,2.5,2.5
217,2011,6,18,7,8,0,-730850,67960,163,2.4,2.4
218,2011,6,19,6,57,0,-731750,67790,167,2,2
219,2011,6,20,4,10,0,-730960,67610,168,3.2,3.2
220,2011,6,20,19,12,0,-731130,67690,161,3,3
221,2011,6,21,6,34,0,-731340,68130,171,2.6,2.6
222,2011,6,21,15,5,0,-730720,68410,172,2.9,2.9
223,2011,6,22,0,44,0,-731160,67570,175,2.2,2.2
224,2011,6,25,1,37,0,-731350,68060,167,3,3
225,2011,6,26,11,16,0,-732230,66610,159,2.4,2.4
226,2011,6,26,16,0,0,-730430,68700,160,3,3
227,2011,6,26,20,26,0,-731220,67850,168,2.6,2.6
228,2011,6,26,23,55,0,-731500,67790,177,2.4,2.4
229,2011,6,28,0,24,0,-730360,68800,171,2.3,2.3
230,2011,6,28,2,20,0,-730840,67380,162,3.2,3.2
231,2011,6,28,2,25,0,-731200,67930,170,3.4,3.4
232,2011,6,29,2,30,0,-731770,66920,153,2,2
233,2011,6,29,23,59,0,-731280,68030,161,2.5,2.5
234,2011,6,30,18,13,0,-731890,67750,162,2.8,2.8
235,2011,6,8,19,14,0,-729790,68680,175,2.5,2.5
236,2011,8,16,7,44,0,-731650,67990,154,2.5,2.5
237,2011,8,28,7,54,0,-731240,68790,178,2.5,2.5
238,2011,9,13,3,5,0,-731120,67790,167,2.8,2.8
239,2012,12,8,1,49,0,-731360,67990,146,3,3
240,2012,12,8,11,11,0,-731420,68220,141,3.1,3.1
241,2012,12,8,15,35,0,-731280,68240,147,3.3,3.3
242,2012,12,9,2,59,0,-731610,68200,138,3.2,3.2
243,2012,12,10,22,18,0,-731170,68280,144,3.5,3.5
244,2012,12,10,22,43,0,-731350,67980,143,3.1,3.1
245,2012,12,11,16,5,0,-731400,68080,147,3.1,3.1
246,2012,12,12,12,45,0,-731310,67900,143,3,3
247,2012,12,12,18,43,0,-731660,68040,143,3.2,3.2
248,2012,12,12,19,26,0,-731440,68110,142,3.1,3.1
